Modèle,Score Train,Score CV,Score Test
Naive Bayes,0.8008474576271186,0.7249113475177305,0.75
Régression Logistique,0.8516949152542372,0.750354609929078,0.7666666666666667
SVM Linéaire,0.902542372881356,0.7801418439716311,0.7833333333333333
Random Forest,0.9915254237288136,0.7840425531914892,0.8
Régression Logistique Optimisée,0.9788135593220338,0.8011524822695035,0.8166666666666667
