,precision,recall,f1-score,support
neutre,0.47619047619047616,0.3333333333333333,0.39215686274509803,30.0
négatif,0.4,0.375,0.3870967741935484,16.0
positif,0.25,0.42857142857142855,0.3157894736842105,14.0
accuracy,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.36666666666666664
macro avg,0.3753968253968254,0.37896825396825395,0.365014370207619,60.0
weighted avg,0.40309523809523806,0.36666666666666664,0.37298844835047773,60.0
